***********************************
You have loaded a Miniforge3 module
***********************************
---------------------------------------------------------------------------------------------------
NOTE: NSC strongly advices against placing 'mamba activate' (or 'conda
activate', with or without
      arguments) or conda initialize commands in your shell initialization
files, (e.g. '.bashrc' or '.bash_profile') since
      this severely alters the environment for running software in ways that
cause unpredictable
      issues that can be difficult to diagnose.
---------------------------------------------------------------------------------------------------

testar
T1 files: 71, T2 files: 71, T2 LR files: 71
71
Train patches: 49, Val patches: 11, Test patches: 11
Number of training batches: 3675
Network initialized
Number of epochs: 500
Using: cuda (SLURM GPUs: 1)
Starting training...
Epoch 379/500, Loss: 0.0002
Epoch 380/500, Loss: 0.0002
Epoch 381/500, Loss: 0.0002
Epoch 382/500, Loss: 0.0002
Epoch 383/500, Loss: 0.0002
Epoch 384/500, Loss: 0.0002
Epoch 385/500, Loss: 0.0002
Epoch 386/500, Loss: 0.0002
Epoch 387/500, Loss: 0.0002
Epoch 388/500, Loss: 0.0002
Epoch 389/500, Loss: 0.0002
Epoch 390/500, Loss: 0.0002
Epoch 391/500, Loss: 0.0002
Epoch 392/500, Loss: 0.0002
Epoch 393/500, Loss: 0.0002
Epoch 394/500, Loss: 0.0002
Epoch 395/500, Loss: 0.0002
Epoch 396/500, Loss: 0.0002
Epoch 397/500, Loss: 0.0002
Epoch 398/500, Loss: 0.0002
Epoch 399/500, Loss: 0.0002
Epoch 400/500, Loss: 0.0002
Epoch 401/500, Loss: 0.0002
Epoch 402/500, Loss: 0.0002
Epoch 403/500, Loss: 0.0002
Epoch 404/500, Loss: 0.0002
Epoch 405/500, Loss: 0.0002
Epoch 406/500, Loss: 0.0002
Epoch 407/500, Loss: 0.0002
Epoch 408/500, Loss: 0.0002
Epoch 409/500, Loss: 0.0002
Epoch 410/500, Loss: 0.0002
Epoch 411/500, Loss: 0.0002
Epoch 412/500, Loss: 0.0002
Epoch 413/500, Loss: 0.0002
Epoch 414/500, Loss: 0.0002
Epoch 415/500, Loss: 0.0002
Epoch 416/500, Loss: 0.0002
Epoch 417/500, Loss: 0.0002
Epoch 418/500, Loss: 0.0002
Epoch 419/500, Loss: 0.0002
Epoch 420/500, Loss: 0.0002
Epoch 421/500, Loss: 0.0002
Epoch 422/500, Loss: 0.0002
Epoch 423/500, Loss: 0.0002
Epoch 424/500, Loss: 0.0002
Epoch 425/500, Loss: 0.0002
Epoch 426/500, Loss: 0.0002
Epoch 427/500, Loss: 0.0002
Epoch 428/500, Loss: 0.0002
Epoch 429/500, Loss: 0.0002
Epoch 430/500, Loss: 0.0002
Epoch 431/500, Loss: 0.0002
Epoch 432/500, Loss: 0.0002
Epoch 433/500, Loss: 0.0002
Epoch 434/500, Loss: 0.0002
Epoch 435/500, Loss: 0.0002
Epoch 436/500, Loss: 0.0002
Epoch 437/500, Loss: 0.0002
Epoch 438/500, Loss: 0.0002
Epoch 439/500, Loss: 0.0002
Epoch 440/500, Loss: 0.0002
Epoch 441/500, Loss: 0.0002
Epoch 442/500, Loss: 0.0002
Epoch 443/500, Loss: 0.0002
Epoch 444/500, Loss: 0.0002
Epoch 445/500, Loss: 0.0002
Epoch 446/500, Loss: 0.0002
Epoch 447/500, Loss: 0.0002
Epoch 448/500, Loss: 0.0002
Epoch 449/500, Loss: 0.0002
Epoch 450/500, Loss: 0.0002
